Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West),Flinders St-Spark Lane,Alfred Place,Queen Street (West),Lygon Street (East),Flinders St-Swanston St (West),Spring St-Lonsdale St (South),City Square,St. Kilda-Alexandra Gardens,Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Southbank
30/03/2017,4,15,11,3,15,35,0,15,9,14,4,3,10,1,5,33,54,26,5,35,-1,15,6,55,28,14,32,4,0,29,17,12,10,11,9,11,0,6,-1,9,8,6,4,25
30/03/2017,5,27,74,36,141,74,0,21,21,19,107,27,14,5,28,109,234,86,56,79,-1,210,49,52,68,12,24,12,0,31,8,8,26,22,7,3,0,25,-1,43,10,4,2,148
30/03/2017,6,78,237,201,728,177,0,95,72,103,605,105,86,26,144,325,876,289,174,174,-1,851,220,96,213,38,42,44,0,55,32,95,80,88,74,9,0,100,-1,148,47,41,27,774
30/03/2017,7,336,705,735,2479,409,0,321,256,440,1946,319,152,21,253,877,2029,599,647,355,-1,2228,680,186,483,98,63,78,0,187,92,240,132,305,198,53,0,240,-1,349,171,170,88,1761
30/03/2017,8,793,1954,1798,5030,1006,0,849,554,1072,4026,563,261,24,427,1773,4341,1271,841,685,-1,4076,1414,414,1008,156,128,202,0,343,174,629,312,711,668,178,0,676,-1,637,515,593,235,3656
30/03/2017,9,792,1464,1121,2950,975,0,994,1105,941,2230,411,191,28,222,1374,2580,710,474,706,-1,2675,831,428,559,156,162,185,0,319,155,500,239,693,590,148,0,712,-1,354,644,821,294,2231
30/03/2017,10,768,798,638,1256,1284,0,1437,1108,1171,738,294,194,26,149,979,1426,393,488,902,-1,1752,522,552,527,320,279,181,0,329,172,262,165,508,528,183,0,624,-1,480,638,714,234,1611
30/03/2017,11,996,739,468,996,1620,0,1911,1497,1420,682,284,185,25,266,1177,1395,451,358,1070,-1,1535,521,588,571,533,379,193,0,522,223,294,174,399,504,211,0,590,-1,486,758,650,236,1734
30/03/2017,12,1644,1599,638,1312,2586,0,3331,2799,2104,1468,557,302,106,533,1599,2319,660,833,1698,-1,2476,1003,1397,980,1114,655,303,0,970,352,410,413,1100,951,361,0,932,-1,674,867,869,334,3193
30/03/2017,13,1883,1698,636,1432,2589,0,3464,3180,2492,1320,582,380,99,470,1469,2238,576,538,1629,-1,2375,947,1271,901,1106,638,259,0,955,434,474,375,1025,953,328,0,971,-1,742,925,904,321,3229
30/03/2017,14,1754,846,538,1188,2307,0,3000,2357,1892,839,324,183,71,230,1709,1958,539,446,1121,-1,1844,569,978,767,921,493,234,0,675,324,277,218,500,593,235,0,704,-1,686,875,876,316,2190
30/03/2017,15,1697,790,607,1443,2433,0,2980,2562,1546,1113,315,251,59,222,1518,1933,581,414,827,-1,2374,522,938,885,791,440,221,0,678,330,295,231,382,553,274,0,572,-1,577,865,832,330,2073
30/03/2017,16,1998,778,1026,2634,2499,0,3021,2414,1502,2622,570,176,23,314,2015,3151,901,614,602,-1,3594,660,963,1071,902,403,176,0,758,311,396,272,374,594,262,0,565,-1,632,775,800,314,2924
30/03/2017,17,2443,1268,1771,4326,3108,0,3387,2520,1675,3731,743,266,45,471,3076,5075,1685,1398,819,-1,4760,1077,1132,1359,1052,533,196,0,957,421,573,390,557,809,320,0,647,-1,1040,1018,713,384,4399
30/03/2017,18,1982,885,855,1933,2846,0,2934,1758,1125,1474,391,364,36,307,2672,3232,1066,2854,716,-1,2906,648,1240,865,1251,706,247,0,1003,474,379,346,322,512,326,0,485,-1,940,805,533,328,3585
30/03/2017,19,1598,512,370,832,2346,0,1999,1071,681,505,233,224,29,118,1751,1937,564,1068,576,-1,1518,316,1085,383,1112,743,146,0,917,527,212,203,202,346,399,0,470,-1,526,437,273,208,2572
30/03/2017,20,1207,322,175,533,2148,0,1330,756,493,222,152,183,31,92,1464,1486,388,227,540,-1,978,203,919,252,1064,619,112,0,913,547,86,162,170,208,322,0,271,-1,281,341,219,174,1942
30/03/2017,21,906,204,123,381,1824,0,756,419,432,186,103,108,35,79,1087,1230,369,286,391,-1,762,196,831,268,750,449,76,0,729,470,112,151,183,169,275,0,199,-1,248,221,223,131,1296
30/03/2017,22,536,263,134,246,1325,0,406,285,263,111,60,85,13,52,1921,1150,373,3551,290,-1,634,205,657,213,458,392,98,0,611,338,213,407,91,165,168,0,372,-1,389,128,135,96,2052
30/03/2017,23,258,104,70,136,813,0,192,138,146,33,32,61,10,23,592,687,216,157,202,-1,344,105,586,105,376,438,58,0,401,181,41,81,60,123,97,0,83,-1,125,68,67,55,670
31/03/2017,0,134,28,10,41,297,0,73,70,61,14,13,3,0,3,125,234,67,8,111,-1,163,36,315,20,145,292,32,0,236,102,15,41,27,63,27,0,22,-1,21,31,16,15,174
31/03/2017,1,59,20,3,30,226,0,49,37,51,8,4,5,6,6,81,79,36,3,75,-1,39,15,245,14,81,74,17,0,184,48,6,21,15,67,63,0,30,-1,25,23,14,13,100
31/03/2017,2,32,13,5,4,138,0,40,21,18,3,2,3,0,0,92,48,10,9,74,-1,21,10,228,15,46,31,10,0,131,14,1,10,12,7,3,0,4,-1,19,3,2,2,69
31/03/2017,3,27,16,6,14,143,0,59,18,14,3,1,9,1,3,44,35,35,11,40,-1,18,10,199,6,63,61,10,0,85,7,1,16,21,7,11,0,7,-1,3,5,3,5,46
31/03/2017,4,22,10,5,6,87,0,35,9,28,6,3,0,0,2,53,82,33,23,35,-1,33,17,135,11,19,44,7,0,41,19,16,17,26,7,4,0,7,-1,9,8,3,3,71
31/03/2017,5,25,57,36,132,72,0,25,18,21,89,16,20,4,40,98,240,93,58,85,-1,247,47,26,53,31,10,16,0,40,36,10,37,9,20,11,0,20,-1,29,12,5,2,152
31/03/2017,6,81,214,169,618,150,0,83,60,76,572,100,93,27,139,311,852,251,178,160,-1,800,186,85,235,32,48,46,0,48,62,89,59,70,59,21,0,68,-1,132,53,34,24,748
31/03/2017,7,323,757,751,2434,381,0,311,265,393,1761,294,161,13,234,857,2127,532,522,307,-1,2157,655,164,514,56,50,89,0,243,101,214,134,276,238,57,0,239,-1,292,137,126,81,1630
31/03/2017,8,777,1858,1741,4939,864,0,847,573,979,3668,512,245,25,412,1745,4541,1249,773,644,-1,3999,1419,376,1122,178,123,178,0,317,221,533,262,756,638,204,0,717,-1,573,521,520,204,3654
31/03/2017,9,651,1320,1072,2825,861,0,1048,761,940,2013,397,210,30,209,1275,2381,611,455,766,-1,2717,891,345,540,212,166,164,0,286,294,444,181,700,535,162,0,707,-1,414,573,621,282,2444
31/03/2017,10,813,830,597,1147,1268,0,1463,1146,1316,730,267,213,60,209,950,1557,389,401,896,-1,1811,546,550,626,405,196,185,0,397,321,267,150,629,549,211,0,675,-1,375,653,639,271,2143
31/03/2017,11,1092,795,467,962,1597,0,2194,1715,1477,729,293,219,32,248,1253,1873,492,387,1154,-1,1695,635,678,769,574,329,223,0,587,494,271,200,419,522,351,0,725,-1,453,757,746,315,2313
31/03/2017,12,1882,1383,664,1359,2780,0,3667,2990,2446,1436,689,447,84,592,1625,2421,565,561,1714,-1,2523,1058,1530,1085,1181,792,255,0,1144,662,393,294,991,924,448,0,1013,-1,671,996,755,344,4008
31/03/2017,13,2053,1556,675,1409,2833,0,3986,3661,2549,1332,576,460,102,589,1896,2371,621,552,1809,-1,2629,1049,1573,1230,1239,772,301,0,1189,565,362,356,1047,1076,502,0,1043,-1,698,927,814,373,4207
31/03/2017,14,1780,901,529,1158,2598,0,3447,2789,1975,839,326,258,48,293,1810,2450,561,484,1296,-1,2079,653,1148,1050,1037,535,242,0,813,553,331,246,518,701,482,0,805,-1,796,956,710,318,3372
31/03/2017,15,1875,740,591,1385,2606,0,3449,2811,1753,1204,318,292,67,281,1894,2513,780,597,1116,-1,2383,601,1047,1197,978,545,242,0,736,517,365,262,374,534,468,0,645,-1,791,840,633,337,3365
31/03/2017,16,2279,781,974,2427,2744,0,3712,3053,1688,2370,484,316,59,408,2375,3401,1014,866,918,-1,3453,820,1155,1557,1170,530,224,0,809,518,474,293,401,575,371,0,662,-1,806,791,554,348,4479
31/03/2017,17,2808,1259,1498,3545,3344,0,4499,3222,1939,2934,745,619,86,597,3979,5091,1532,1050,794,-1,4434,1101,1473,1913,1287,702,222,0,1178,533,603,392,631,975,436,0,872,-1,1126,957,623,415,6395
31/03/2017,18,2273,820,710,1732,3364,0,3958,2484,1492,1503,542,1197,133,528,3566,3909,1217,1300,810,-1,3517,776,1716,2006,1660,1041,254,0,1398,588,382,318,438,617,466,0,685,-1,1097,637,433,344,6400
31/03/2017,19,1915,553,353,810,2929,0,2974,1692,1047,610,341,885,122,377,3175,2727,974,887,630,-1,2188,466,1816,1204,1761,1327,216,0,1514,692,286,284,286,456,528,0,601,-1,717,469,348,232,5375
31/03/2017,20,1832,431,234,453,2786,0,2277,1284,769,270,195,340,82,150,2695,2181,838,376,532,-1,1265,258,1802,1154,1675,1359,149,0,1502,880,146,175,193,386,541,0,418,-1,497,232,244,176,4816
31/03/2017,21,1529,256,194,407,2875,0,1455,875,640,193,166,321,74,113,2484,2477,902,305,546,-1,1018,334,1385,1006,1386,982,170,0,1406,778,123,158,174,333,548,0,311,-1,427,199,168,126,4023
31/03/2017,22,1195,259,168,297,2216,0,841,499,433,265,239,925,81,369,2172,1865,552,1373,387,-1,1575,406,1227,529,998,843,122,0,1218,812,137,246,161,440,397,0,391,-1,362,132,125,86,2774
31/03/2017,23,779,206,153,287,1908,0,695,365,415,134,154,209,28,98,1389,1418,434,576,382,-1,861,234,1123,344,796,538,78,0,979,511,111,136,119,533,219,0,169,-1,312,113,125,68,1850
